link,category,label,types,address
https://tonviewer.com/EQBUJQYVdgjr0QkUDhHCU8yAF3Kv7ZvBCnWVBt6T1uYQHSmn,scripted-activity,sybil_EQBUJQ,['wallet_v5r1'],EQBUJQYVdgjr0QkUDhHCU8yAF3Kv7ZvBCnWVBt6T1uYQHSmn
https://tonviewer.com/EQAa2BpErWnFjbbhsbFgpp_-umpqK2vuxkgCF293T3BS65PL,scripted-activity,sybil_Blum_EQAa2BpE,['wallet_v5r1'],EQAa2BpErWnFjbbhsbFgpp_-umpqK2vuxkgCF293T3BS65PL
https://tonviewer.com/EQA5fgsuKlv1KjbXxZ2oF83Jb6-gdTj1eyt8rFBO6A530ksx,scripted-activity,sybil_Blum_EQAa2BpE,['wallet_v5r1'],EQA5fgsuKlv1KjbXxZ2oF83Jb6-gdTj1eyt8rFBO6A530ksx
https://tonviewer.com/EQBmVhTC_Q8R5nJYAdzapfa-RQWvPyhDOYVPTNWrRLVyI8IH,scripted-activity,sybil_Blum_EQAa2BpE,['wallet_v4r2'],EQBmVhTC_Q8R5nJYAdzapfa-RQWvPyhDOYVPTNWrRLVyI8IH
https://tonviewer.com/EQAu0qjfcws3E5SRtl_6l401UoSpvhhaycYivOTdYfeCmYMp,scripted-activity,sybil_EQAU0QJF,['wallet_v5r1'],EQAu0qjfcws3E5SRtl_6l401UoSpvhhaycYivOTdYfeCmYMp
https://tonviewer.com/EQBwh0WSPNnXqpxbSUFVREErThGAfVOLmCQ7fd9CwK45SnrZ,scripted-activity,sybil_EQBwh0WS,['wallet_v5r1'],EQBwh0WSPNnXqpxbSUFVREErThGAfVOLmCQ7fd9CwK45SnrZ
https://tonviewer.com/EQC4gyDnR2tI1N9VMuYHrKdZAKIsHUxlNkm7du-0ImefcjVz,scripted-activity,sybil_bountybay_EQC4gyDn,['wallet_v5r1'],EQC4gyDnR2tI1N9VMuYHrKdZAKIsHUxlNkm7du-0ImefcjVz
https://tonviewer.com/EQDtVvEjVsijeq0YoiDWOtfM7_WZrEuKdWjKv2FW5xSen0HN,scripted-activity,sybil_bountybay_EQC4gyDn,['wallet_v5r1'],EQDtVvEjVsijeq0YoiDWOtfM7_WZrEuKdWjKv2FW5xSen0HN
https://tonviewer.com/EQDWuULN-63V4HYGlPBIlt0etDfF_viIKYEwmA5DxMKOxMAN,scripted-activity,sybil_EQDWuULN,['wallet_v4r2'],EQDWuULN-63V4HYGlPBIlt0etDfF_viIKYEwmA5DxMKOxMAN
https://tonviewer.com/EQBsbv8lhKsfmYU9-5k_FeQc6ppUGpZ3N47X72sKQnZnPjxN,scripted-activity,sybil_EQDWuULN,['wallet_v4r2'],EQBsbv8lhKsfmYU9-5k_FeQc6ppUGpZ3N47X72sKQnZnPjxN
https://tonviewer.com/EQCR68VChQWqvU9S5GCbOm02HwxmsmUsHRAE_UhmLr1AYoKb,scripted-activity,sybil_EQDWuULN,['wallet_v5r1'],EQCR68VChQWqvU9S5GCbOm02HwxmsmUsHRAE_UhmLr1AYoKb
